INFO:__mp_main__:< current epoch -> 9 || 5 of 14 done || time elapsed 7.134650468826294 || current lr -> 0.0001 || current loss -> 0.15259365737438202 >
INFO:__mp_main__:< current epoch -> 9 || 6 of 14 done || time elapsed 7.135644912719727 || current lr -> 0.0001 || current loss -> 0.14488644897937775 >
INFO:__mp_main__:< current epoch -> 9 || 7 of 14 done || time elapsed 7.133272171020508 || current lr -> 0.0001 || current loss -> 0.1325862854719162 >
INFO:__mp_main__:< current epoch -> 9 || 8 of 14 done || time elapsed 7.133224010467529 || current lr -> 0.0001 || current loss -> 0.1456809639930725 >
INFO:__mp_main__:< current epoch -> 9 || 9 of 14 done || time elapsed 7.1323277950286865 || current lr -> 0.0001 || current loss -> 0.14212225377559662 >
INFO:__mp_main__:< current epoch -> 9 || 10 of 14 done || time elapsed 7.139897108078003 || current lr -> 0.0001 || current loss -> 0.14454855024814606 >
INFO:__mp_main__:< current epoch -> 9 || 11 of 14 done || time elapsed 7.149412155151367 || current lr -> 0.0001 || current loss -> 0.13793277740478516 >
INFO:__mp_main__:< current epoch -> 9 || 12 of 14 done || time elapsed 7.144387245178223 || current lr -> 0.0001 || current loss -> 0.14157384634017944 >
INFO:__mp_main__:< current epoch -> 9 || 13 of 14 done || time elapsed 7.135396718978882 || current lr -> 0.0001 || current loss -> 0.14443013072013855 >
INFO:__mp_main__:< current epoch -> 9 || 14 of 14 done || time elapsed 4.943738698959351 || current lr -> 0.0001 || current loss -> 0.12992161512374878 >
INFO:__mp_main__:------------------------------------ 10 of 100 done, total loss 0.14423953635352 ------------------------------------
INFO:__mp_main__:< current epoch -> 10 || 1 of 14 done || time elapsed 7.128335237503052 || current lr -> 0.0001 || current loss -> 0.15423940122127533 >
INFO:__mp_main__:< current epoch -> 10 || 2 of 14 done || time elapsed 7.134521722793579 || current lr -> 0.0001 || current loss -> 0.1475810706615448 >
INFO:__mp_main__:< current epoch -> 10 || 3 of 14 done || time elapsed 7.131354093551636 || current lr -> 0.0001 || current loss -> 0.14579027891159058 >
INFO:__mp_main__:< current epoch -> 10 || 4 of 14 done || time elapsed 7.1322972774505615 || current lr -> 0.0001 || current loss -> 0.14318151772022247 >
INFO:__mp_main__:< current epoch -> 10 || 5 of 14 done || time elapsed 7.139789819717407 || current lr -> 0.0001 || current loss -> 0.14757627248764038 >
INFO:__mp_main__:< current epoch -> 10 || 6 of 14 done || time elapsed 7.127037048339844 || current lr -> 0.0001 || current loss -> 0.14068840444087982 >
INFO:__mp_main__:< current epoch -> 10 || 7 of 14 done || time elapsed 7.133666753768921 || current lr -> 0.0001 || current loss -> 0.13339316844940186 >
INFO:__mp_main__:< current epoch -> 10 || 8 of 14 done || time elapsed 7.128922700881958 || current lr -> 0.0001 || current loss -> 0.14143674075603485 >
INFO:__mp_main__:< current epoch -> 10 || 9 of 14 done || time elapsed 7.138301134109497 || current lr -> 0.0001 || current loss -> 0.13877029716968536 >
INFO:__mp_main__:< current epoch -> 10 || 10 of 14 done || time elapsed 7.835026025772095 || current lr -> 0.0001 || current loss -> 0.14471560716629028 >
INFO:__mp_main__:< current epoch -> 10 || 11 of 14 done || time elapsed 7.132404088973999 || current lr -> 0.0001 || current loss -> 0.1366681456565857 >
INFO:__mp_main__:< current epoch -> 10 || 12 of 14 done || time elapsed 7.127488136291504 || current lr -> 0.0001 || current loss -> 0.1374337375164032 >
INFO:__mp_main__:< current epoch -> 10 || 13 of 14 done || time elapsed 7.13132381439209 || current lr -> 0.0001 || current loss -> 0.14312060177326202 >
INFO:__mp_main__:< current epoch -> 10 || 14 of 14 done || time elapsed 4.943070650100708 || current lr -> 0.0001 || current loss -> 0.12789064645767212 >
INFO:__mp_main__:------------------------------------ 11 of 100 done, total loss 0.14160613502774919 ------------------------------------
INFO:__mp_main__:< current epoch -> 11 || 1 of 14 done || time elapsed 7.129753351211548 || current lr -> 0.0001 || current loss -> 0.1503307968378067 >
INFO:__mp_main__:< current epoch -> 11 || 2 of 14 done || time elapsed 7.13647723197937 || current lr -> 0.0001 || current loss -> 0.14510981738567352 >
INFO:__mp_main__:< current epoch -> 11 || 3 of 14 done || time elapsed 7.12453031539917 || current lr -> 0.0001 || current loss -> 0.14360107481479645 >
INFO:__mp_main__:< current epoch -> 11 || 4 of 14 done || time elapsed 7.137668609619141 || current lr -> 0.0001 || current loss -> 0.14210091531276703 >
INFO:__mp_main__:< current epoch -> 11 || 5 of 14 done || time elapsed 7.147886037826538 || current lr -> 0.0001 || current loss -> 0.14540864527225494 >
INFO:__mp_main__:< current epoch -> 11 || 6 of 14 done || time elapsed 7.141805171966553 || current lr -> 0.0001 || current loss -> 0.14068488776683807 >
INFO:__mp_main__:< current epoch -> 11 || 7 of 14 done || time elapsed 7.138350248336792 || current lr -> 0.0001 || current loss -> 0.13191942870616913 >
INFO:__mp_main__:< current epoch -> 11 || 8 of 14 done || time elapsed 7.132263898849487 || current lr -> 0.0001 || current loss -> 0.14097608625888824 >
INFO:__mp_main__:< current epoch -> 11 || 9 of 14 done || time elapsed 7.13896369934082 || current lr -> 0.0001 || current loss -> 0.13607197999954224 >
INFO:__mp_main__:< current epoch -> 11 || 10 of 14 done || time elapsed 7.136793851852417 || current lr -> 0.0001 || current loss -> 0.1417754888534546 >
INFO:__mp_main__:< current epoch -> 11 || 11 of 14 done || time elapsed 7.128957509994507 || current lr -> 0.0001 || current loss -> 0.13353975117206573 >
INFO:__mp_main__:< current epoch -> 11 || 12 of 14 done || time elapsed 7.139019250869751 || current lr -> 0.0001 || current loss -> 0.13601714372634888 >
INFO:__mp_main__:< current epoch -> 11 || 13 of 14 done || time elapsed 7.142713308334351 || current lr -> 0.0001 || current loss -> 0.1406947523355484 >
INFO:__mp_main__:< current epoch -> 11 || 14 of 14 done || time elapsed 4.937712907791138 || current lr -> 0.0001 || current loss -> 0.12433761358261108 >
INFO:__mp_main__:------------------------------------ 12 of 100 done, total loss 0.13946917014462606 ------------------------------------
INFO:__mp_main__:< current epoch -> 12 || 1 of 14 done || time elapsed 7.13557767868042 || current lr -> 0.0001 || current loss -> 0.14969339966773987 >
INFO:__mp_main__:< current epoch -> 12 || 2 of 14 done || time elapsed 7.136246919631958 || current lr -> 0.0001 || current loss -> 0.1402500569820404 >
INFO:__mp_main__:< current epoch -> 12 || 3 of 14 done || time elapsed 7.13166880607605 || current lr -> 0.0001 || current loss -> 0.14272473752498627 >
INFO:__mp_main__:< current epoch -> 12 || 4 of 14 done || time elapsed 7.139325857162476 || current lr -> 0.0001 || current loss -> 0.1401033103466034 >
INFO:__mp_main__:< current epoch -> 12 || 5 of 14 done || time elapsed 7.132934093475342 || current lr -> 0.0001 || current loss -> 0.14256782829761505 >
INFO:__mp_main__:< current epoch -> 12 || 6 of 14 done || time elapsed 7.13399600982666 || current lr -> 0.0001 || current loss -> 0.1373823881149292 >
INFO:__mp_main__:< current epoch -> 12 || 7 of 14 done || time elapsed 7.14268946647644 || current lr -> 0.0001 || current loss -> 0.13026684522628784 >
INFO:__mp_main__:< current epoch -> 12 || 8 of 14 done || time elapsed 7.137466192245483 || current lr -> 0.0001 || current loss -> 0.13915476202964783 >
INFO:__mp_main__:< current epoch -> 12 || 9 of 14 done || time elapsed 7.138996601104736 || current lr -> 0.0001 || current loss -> 0.13484466075897217 >
INFO:__mp_main__:< current epoch -> 12 || 10 of 14 done || time elapsed 7.140979051589966 || current lr -> 0.0001 || current loss -> 0.1406295895576477 >
